Navn; calories; proteins; carbs; fat; type;
typer: frugt og grønt=fg, fjerkræ, kød, fisk, snack, drikke, krydderi, nød, bær, korn, brød og mejeri=bm

Jordbær, rå;38;0.7;6.1;0.6;bær
Æble, råt;55;0.3;10.9;0.2;fg
Banan, rå;93;1.1;19.7;0.2;fg
Kartoffel, rå;77;2;17.9;0.3;fg
Hindbær, rå;51;1.4;4;1.3;bær
Sødmælk, konventionel (ikke-økologisk);63;3.4;4.6;3.5;bm
Persille, rå;48;3.7;1.2;1.1;krydderi
Pære, rå;49;0.3;8.3;0.1;fg
Rabarber, rå;26;0.9;1.9;0.3;fg
Solbær, rå;75;1.5;9.9;1.3;bær
Yoghurt naturel, sødmælk;62;3.7;3.6;3.6;bm
Bladselleri, rå;23;0.7;1.9;0.2;krydderi
Blomkål, rå;28;2.4;1.9;0.4;fg
Blomme, rå;47;0.5;9.2;0.3;fg
Blåbær, rå;52;0.7;10.4;0.5;bær
Broccoli, rå;35;3.6;2.1;0.2;fg
Brombær, rå;37;1.4;4.5;1;bær
Brune bønner, tørrede, rå;312;18.9;45.6;2;fg
Voksbønner, rå;35;2.1;5.3;0.2;fg
Citron, rå;44;0.5;3.1;1.1;fg
Dild, rå;48;3.5;4.9;1.1;krydderi
Grønkål, rå;60;4.7;2;1.1;fg
Gulerod, rå;36;0.7;6.2;0.4;fg
Hornfisk, rå;107;19.5;0;3.2;fisk
Hvidkål, rå;32;1.2;4.5;0.2;fg
Hyben, rå;79;0.6;15;0.5;fg
Hyldebær, rå;67;0.7;11.6;0.5;bær
Kirsebær, rå;55;1.4;11.7;0.3;bær
Laks, atlantisk, vild, rå;159;18.4;0;7.5;fisk
Majskolbe, rå;91;3.7;23.7;1.8;fg
Kærnemælk;36;3.3;3.7;0.5;bm
Letmælk, konventionel (ikke-økologisk);48;3.4;4.7;1.6;bm
Makrel, rå;187;17.8;0;12.9;fisk
Mandel, rå;606;25.6;6.5;52.1;nød
Vandmelon, rå;33;0.8;6.5;0.1;fg
Peberfrugt, grøn, rå;22;0.9;2.7;0.3;fg
Peberfrugt, rød, rå;31;0.9;5.2;0.1;fg
Radise, rå;12;0.8;1.3;0.1;fg
Ribs, rå;63;1.3;9.3;1.7;bær
Rosenkål, rå;53;4.5;4.4;0.5;fg
Rødbede, rå;52;1.7;9.9;0.3;fg
Rødkål, rå;32;1.5;4;0.2;fg
Rødspætte, rå;87;17.5;0;1.9;fisk
Selleri, rod, rå;34;1.8;2;0.3;krydderi
Sild, marineret;273;11.9;20.9;16.2;fisk
